Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
"Butuc, Maria",RUS,F,1993.0,WIM,2223,2128.0,2144.0,wi
"Severina, Maria",RUS,F,1995.0,WIM,2220,2231.0,2202.0,wi
"Shmidt, Elena",RUS,F,1976.0,WIM,2220,2004.0,2106.0,wi
"Kanaeva, Irina",RUS,F,1994.0,WFM,2219,2164.0,2094.0,wi
"Moskalets, Svetlana",UKR,F,1988.0,WIM,2216,2200.0,2095.0,wi
"Ni, Viktorija",USA,F,1991.0,WIM,2215,2125.0,2183.0,wi
"Vlasova, Nataliya",RUS,F,1980.0,WIM,2215,2020.0,2032.0,wi
"Romanovskaya, Anna",RUS,F,1987.0,WFM,2210,2238.0,2032.0,wi
"Shumilina, Alexandra",RUS,F,1986.0,WIM,2210,2263.0,2172.0,wi
"Berdychevskaya, Natasha",RUS,F,1984.0,WFM,2208,1918.0,1799.0,wi
"Chu, Ruotong",CHN,F,2001.0,WIM,2207,2062.0,2074.0,wi
"Fominykh, Maria",RUS,F,1987.0,WGM,2206,2134.0,2108.0,wi
"Bondar, Tana",BLR,F,1976.0,WFM,2202,1941.0,2033.0,wi
Monnisha G K,IND,F,1998.0,WIM,2202,1965.0,2076.0,wi
"Travkina, Anastasia",RUS,F,1992.0,WIM,2202,2092.0,2194.0,wi
"Xu, Huahua",CHN,F,1994.0,WIM,2202,2211.0,2129.0,wi
"Chasovnikova, Eugenia",RUS,F,1981.0,WGM,2201,2070.0,2033.0,wi
"Ghader Pour, Shayesteh",IRI,F,1984.0,WIM,2198,2167.0,2193.0,wi
"Stetsko, Lanita",BLR,F,1993.0,FM,2196,2167.0,2025.0,wi
"Fatianova, Tatiana",RUS,F,1984.0,WGM,2195,2040.0,2020.0,wi
"Hoang, Thi Nhu Y",VIE,F,1993.0,WIM,2195,2211.0,2340.0,wi
"Le, Kieu Thien Kim",VIE,F,1981.0,WIM,2194,2216.0,2212.0,wi
"Jussupow, Ekaterina",GER,F,1991.0,WFM,2193,2160.0,2099.0,wi
"Liu, Manli",CHN,F,1996.0,WIM,2192,2046.0,2061.0,wi
"Kuang, Yinghui",CHN,F,1979.0,WIM,2191,2239.0,2202.0,wi
"Belavenets, Liudmila",RUS,F,1940.0,WIM,2190,2095.0,2052.0,wi
"Lupik, Marina",RUS,F,1987.0,WIM,2190,2053.0,2001.0,wi
"Stjazhkina, Olga",RUS,F,1970.0,WGM,2190,2237.0,2135.0,wi
"Raeva, Elitsa",BUL,F,1987.0,WIM,2189,2250.0,2190.0,wi
"Derli, Olga",RUS,F,1985.0,WIM,2186,2140.0,2056.0,wi
"Tsareva, Elena",RUS,F,1978.0,WFM,2185,2120.0,2107.0,wi
"Wafa, Shrook",EGY,F,1997.0,WGM,2182,2041.0,2058.0,wi
"Ershova, Svetlana",RUS,F,1964.0,WIM,2179,2193.0,2164.0,wi
"Gazikova, Veronika",SVK,F,1999.0,WFM,2178,2064.0,2122.0,wi
"Gureeva, Dina",RUS,F,1988.0,WIM,2178,2228.0,2178.0,wi
"Rjanova, Valery",RUS,F,1993.0,WFM,2178,2183.0,2145.0,wi
"Zinkevich, Julia",UKR,F,1984.0,WIM,2178,2028.0,2001.0,wi
"Shishkova, Olga",RUS,F,1971.0,WFM,2176,1985.0,1882.0,wi
"Dolnik-Domany, Zsofia",HUN,F,1988.0,WIM,2175,2148.0,2186.0,wi
"Mutchnik, Larisa",UKR,F,1956.0,WIM,2175,2087.0,2114.0,wi
"Bryla, Hanna",POL,F,1989.0,WIM,2174,2117.0,2095.0,wi
"Bajt, Indira",SLO,F,1980.0,WFM,2172,2191.0,2171.0,wi
"Sakenova, Salima",KAZ,F,1977.0,WFM,2172,2129.0,2110.0,wi
"Haussernot, Cecile",FRA,F,1998.0,WIM,2171,2246.0,2288.0,wi
"Limontaite, Simona",LTU,F,1987.0,WIM,2171,2040.0,2085.0,wi
"Aghasiyeva, Fidan",AZE,F,1987.0,WIM,2169,1980.0,2009.0,wi
"Maroroa, Sue",ENG,F,1991.0,WIM,2168,2061.0,2008.0,wi
"Shkuro, Anastasia",UKR,F,1986.0,WFM,2168,2159.0,2172.0,wi
"Makogon, Natalya",RUS,F,1975.0,WFM,2167,2149.0,2000.0,wi
"Rodionova, Daria",RUS,F,1998.0,WFM,2167,2118.0,2182.0,wi
"Fomichenko, Svetlana",RUS,F,1976.0,WGM,2166,2211.0,2158.0,wi
"Przezdziecka, Ewa",POL,F,1988.0,WFM,2166,1899.0,2012.0,wi
"Zhylkaidarova, Sholpan",KAZ,F,1994.0,WIM,2165,2140.0,2000.0,wi
"Voronova, Tatiana",LAT,F,1955.0,WIM,2164,2097.0,2157.0,wi
"Gladisheva, Tatjana",RUS,F,1966.0,WGM,2162,1981.0,2125.0,wi
"Kuzevanova, Evgenia",RUS,F,1989.0,WIM,2162,2063.0,2040.0,wi
"Agababean, Naira",MDA,F,1951.0,WGM,2161,2121.0,2123.0,wi
"Kostrikina, Anna",RUS,F,1986.0,WFM,2161,2006.0,1920.0,wi
